Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1749563794,50,,Aggregated,25.200000,0.000000,9,10,12,14,16,21,29,37,67,240,240,4040,0,9,11.455219907677046,1.2567089997901348,241.11689900018973,160.5279702970297
1749563795,50,,Aggregated,24.700000,0.000000,9,10,12,14,16,21,29,37,67,240,240,4071,0,9,11.451769404081865,1.2567089997901348,241.11689900018973,160.54163596168019
1749563796,50,,Aggregated,24.200000,0.000000,9,10,12,14,16,21,29,37,67,240,240,4091,0,9,11.449302236866195,1.2567089997901348,241.11689900018973,160.55072109508677
1749563797,50,,Aggregated,24.500000,0.000000,9,10,12,14,16,21,29,37,67,240,240,4118,0,9,11.440748653962965,1.2567089997901348,241.11689900018973,160.5611947547353
1749563798,50,,Aggregated,24.700000,0.000000,9,10,12,14,16,21,29,37,67,240,240,4138,0,9,11.437324167235245,1.2567089997901348,241.11689900018973,160.56887385210246
1749563799,50,,Aggregated,24.600000,0.000000,9,10,12,14,16,21,29,37,67,240,240,4169,0,9,11.42710069921298,1.2567089997901348,241.11689900018973,160.58383305349005
1749563800,50,,Aggregated,24.400000,0.000000,9,10,12,14,16,21,29,37,67,240,240,4188,0,9,11.434185184818885,1.2567089997901348,241.11689900018973,160.59001910219675
1749563801,50,,Aggregated,24.700000,0.000000,9,10,12,14,16,21,28,37,67,240,240,4214,0,9,11.433247759852915,1.2567089997901348,241.11689900018973,160.60346464167063
1749563802,50,,Aggregated,24.200000,0.000000,9,10,12,14,16,21,29,37,67,240,240,4235,0,9,11.443409060689433,1.2567089997901348,241.11689900018973,160.61109799291617
1749563803,50,,Aggregated,24.300000,0.000000,9,10,12,14,16,21,29,37,67,240,240,4262,0,9,11.434706435715956,1.2567089997901348,241.11689900018973,160.62318160488033
1749563804,50,,Aggregated,24.400000,0.000000,9,10,12,14,16,21,29,37,67,240,240,4287,0,9,11.425271220206257,1.2567089997901348,241.11689900018973,160.63051084674598
1749563805,50,,Aggregated,24.000000,0.000000,9,10,12,14,16,21,28,37,67,240,240,4310,0,9,11.420058812070518,1.2567089997901348,241.11689900018973,160.63758700696056
1749563806,50,,Aggregated,24.600000,0.000000,9,10,12,14,16,21,28,37,67,240,240,4334,0,9,11.415411645367815,1.2567089997901348,241.11689900018973,160.64697738809414
1749563807,50,,Aggregated,23.800000,0.000000,9,10,12,14,16,21,28,37,67,240,240,4361,0,9,11.411597420093411,1.2567089997901348,241.11689900018973,160.65810593900483
1749563808,50,,Aggregated,24.100000,0.000000,9,10,12,14,16,21,28,37,67,240,240,4385,0,9,11.400403170359445,1.2567089997901348,241.11689900018973,160.66636259977196
1749563809,50,,Aggregated,24.200000,0.000000,9,10,12,14,16,21,28,37,67,240,240,4409,0,9,11.392115373106689,1.2567089997901348,241.11689900018973,160.67589022454072
1749563810,50,,Aggregated,24.600000,0.000000,9,10,12,14,16,21,28,37,67,240,240,4433,0,9,11.389184642235037,1.2567089997901348,241.11689900018973,160.6848635235732
1749563811,50,,Aggregated,24.300000,0.000000,9,10,12,14,16,21,28,37,67,240,240,4467,0,9,11.385142554965034,1.2567089997901348,241.11689900018973,160.69935079471682
1749563812,50,,Aggregated,24.200000,0.000000,9,10,12,14,16,21,28,37,67,240,240,4488,0,9,11.375312694970793,1.2567089997901348,241.11689900018973,160.7090017825312
1749563813,50,,Aggregated,25.100000,0.000000,9,10,12,14,16,21,28,37,67,240,240,4521,0,9,11.36786199646719,1.2567089997901348,241.11689900018973,160.71864631718645
1749563814,50,,Aggregated,25.200000,0.000000,9,10,12,14,16,21,28,37,67,240,240,4540,0,9,11.360299103970915,1.2567089997901348,241.11689900018973,160.72466960352423
1749563815,50,,Aggregated,25.600000,0.000000,9,10,12,14,16,21,28,37,67,240,240,4566,0,9,11.35522459527603,1.2567089997901348,241.11689900018973,160.7347787998248
1749563816,50,,Aggregated,25.600000,0.000000,9,10,12,14,16,21,28,37,67,240,240,4588,0,9,11.351547646475774,1.2567089997901348,241.11689900018973,160.74149956408021
1749563817,50,,Aggregated,25.600000,0.000000,9,10,12,14,16,21,28,37,67,240,240,4611,0,9,11.352355332038703,1.2567089997901348,241.11689900018973,160.74886141834742
1749563818,50,,Aggregated,25.500000,0.000000,9,10,12,14,16,21,28,37,67,240,240,4637,0,9,11.342140958384988,1.2567089997901348,241.11689900018973,160.7571705844296
1749563819,50,,Aggregated,25.200000,0.000000,9,10,12,14,16,21,28,37,67,240,240,4662,0,9,11.334976931580568,1.2567089997901348,241.11689900018973,160.76533676533677
1749563820,50,,Aggregated,25.000000,0.000000,9,10,12,14,16,21,28,37,67,240,240,4690,0,9,11.325976146700555,1.2567089997901348,241.11689900018973,160.77526652452025
1749563821,50,,Aggregated,25.100000,0.000000,9,10,12,14,16,21,28,36,67,240,240,4716,0,9,11.314918839912854,1.2567089997901348,241.11689900018973,160.78435114503816
1749563822,50,,Aggregated,25.900000,0.000000,9,10,12,14,16,21,28,36,67,240,240,4739,0,9,11.310323823597898,1.2567089997901348,241.11689900018973,160.79025110782865
1749563823,50,,Aggregated,25.100000,0.000000,9,10,12,14,16,21,28,36,67,240,240,4764,0,9,11.315574124481378,1.2567089997901348,241.11689900018973,160.7957598656591
